r	rk	y	yk	r_gloss	y_gloss
sem	种	sperm	精液	［他］（〜の）種をまく;《転》まき散らす;（うわさなどを）振りまく	{Ｏ}【生】精液
silur	鱼	kat	猫	{Ｏ}【魚】ヨーロッパナマズ（属）;《般》ナマズ（鯰）（目の総称）,=k	猫の,猫のような
sinkop	切分	sven	昏	{Ｏ}【楽】シンコペーション;【医】=sveno（失神）;【語】語中音省	気を失って
sism	震	ter	地	【地質】=tertremo（地震）	地球の;土の;地上の;【生】陸生の
situaci	况	situ	位	［自］《古》=situi（位置する）	［自］位置する,場所にある
skafald	架	trab	梁	［自］足場を組む	{Ｏ}【建】梁（はり）,桁（けた）;角材
skal	度	gam	阶	{Ｂ}尺度,目盛,縮尺;《転》規模,スケール;【楽】=gamo（音階）	{Ｏ}【楽】音階;全音域;《転》あらゆる段階,全範囲
skarab	甲	kole	胆	{Ｏ}【虫】タマオシコガネ,スカラベ（属）;《般》コガネムシ（黄金虫・金	【化】【医】【PIV】Galo 1 (pref-e (prefikse)
skrot	阴囊	testik	丸	【解】陰嚢（いんのう）,=testikujo	{Ｏ}【解】精巣,睾丸（こうがん）
sled	雪车	glit	滑	［自］そりで行く	つるつるした,ぬるぬるした;=glitiga
sodomi	肛交	anus	肛	［他］肛門性交を行う,=anuse seksumi	肛門の
solvent	偿	pag	付	{Ｏ}【商】（債務の）支払能力のある,=pagokapabla	{Ｂ}［他］払う,支払う;《転》仕返しする;《転》償いをする
sor	腾	supr	顶	［自］【空】（気流に乗って）上昇する,舞い上がる,=suprenglis	上方の
spekulaci	投机	spekul	投	=spekuli（投機をする）	投機的な
spin	脊	vertebr	椎	{Ｏ}背骨,脊柱,=vertebraro;【解】棘（きょく）;《転》山稜	椎骨の,脊椎の;脊椎のある
spion	谍	gvat	监	［他］スパイする,ひそかに探る;《転》監視する,=gvati	［他］様子をうかがう,見張る,>>observi
spok	辐	rad	轮	【機】（車輪の）スポーク,=radradio,=dratradio	車輪の;車輪のついた
spok	辐	drat	线	【機】（車輪の）スポーク,=radradio,=dratradio	［他］針金を張る
spur	迹	pied	足	［他］足跡をたどる;【情】トレースする	足の,下部の
stadi	阶	stadion	赛场	{Ｂ}（発展の）段階,程度,時期;【史】スタジオン（=約180m）;=s	{Ｂ}スタジアム,競技場
stapl	囤	stok	储	［他］倉庫に集積する,置場に積む	［他］【商】ストックする,仕入れる;蓄える
stapl	囤	kas	库	［他］倉庫に集積する,置場に積む	{Ｂ}金庫;会計
stereotip	套	klis^	铸版	ステロ版の;《転》きまり文句の,紋切型の	{Ｏ}［他］【印】ステロ版にとる
sterling	镑	bri	苔	【貨】英ポンドの	【植】【PIV】G. (Genro) (Bryum el briacoj
stilz	跷	pas	过	（〜j）竹馬,=pas^stango,=stangirilo	=pasema（一時的な）
stilz	跷	stang	杆	（〜j）竹馬,=pas^stango,=stangirilo	{Ｂ}棒,さお,柱,>>bastono,>>vergo,>>fosto
stov	炉	hejt	热	ストーブ,=hejtoforno	{Ｂ}［他］（炉などに）火をたく;（部屋を）暖房する
strangol	绞	prem	压	{Ｏ}［他］首を絞める,絞め殺す,=premsufoki	押しつけるような,重苦しい
string	勒	c^ir	卷须	［他］締めつける,握りしめる,抱きしめる,=c^irkau^premi,	【植】【PIV】1 Maldika, volva organo de g
stumbl	绊	fal	落	［自］つまずく,よろめく,=faleti;《転》とちる,言い間違える	{Ｂ}［自］落ちる,落下する;倒れる,転ぶ;降る;《転》滅びる
