# PEJVO層に残る未割当の生物名語根 = 384件
# 列: 語根 / 分野 / F(出現語数) / 代表語釈 / 出現語(最大6)
seneci	【植】	F=1	【植】キオン（属）（ノボロギク，ハンゴンソウなど）	seneci/o
setari	【植】	F=1	《Ｎ》【植】アワ（粟）（属）	setari/o
sikomor	【植】	F=1	【植】エジプトイチジク（種）,イチジクグワ	sikomor/o
silikv	【植】	F=1	【植】角果;《古》=gus^o（さや）	silikv/o
sisirinki	【植】	F=1	《Ｎ》【植】ニワゼキショウ（属，_Sisyrinchium_）	sisirinki/o
skabioz	【植】	F=1	【植】マツムシソウ（属）	skabioz/o
skarol	【植】	F=1	【植】エスカロール,ヒロハキクヂシャ,=larg^folia endivio	skarol/o
skorzoner	【植】	F=1	{Ｏ}【植】フタナミソウ（属）	skorzoner/o
solidag	【植】	F=1	【植】アキノキリンソウ（属）（セイタカアワダチソウを含む）	solidag/o
spirogir	【植】	F=1	【植】アオミドロ	spirogir/o
stau^d	【植】	F=1	【植】多年生植物,=plurjara planto	stau^d/o
stigm	【植】	F=1	【植】（めしべの）柱頭;【動】気門	stigm/o
stilus	【植】	F=1	【植】（めしべの）花柱	stilus/o
stirak	【植】	F=1	【植】エゴノキ	stirak/o
taksus	【植】	F=1	{Ｏ}【植】イチイ（一位）（属）	taksus/o
tamarik	【植】	F=1	【植】ギョリュウ（御柳）（属）	tamarik/o
tanacet	【植】	F=1	【植】ヨモギギク（蓬菊）（属）	tanacet/o
tremol	【植】	F=1	{Ｏ}【植】ヤマナラシ（山鳴）（種）,（別名）ハコヤナギ（箱柳）,ポプラ（属の一種）,>>poplo	tremol/o
trikosant	【植】	F=1	【植】カラスウリ（烏瓜）（属）	trikosant/o
tropeol	【植】	F=1	【植】キンレンカ（金蓮花）（属）,ノウゼンハレン,ナスタチウム	tropeol/o
tuberos	【植】	F=1	【植】チューベロース	tuberos/o
tusilag	【植】	F=1	【植】フキタンポポ（属）,=c^evalpiedo,=azenpiedo	tusilag/o
uleks	【植】	F=1	【植】ハリエニシダ（属）	uleks/o
vakcini	【植】	F=1	{Ｏ}【植】スノキ（属）,コケモモ（属）,>>mirtelo,>>oksikoko	vakcini/o
valerian	【植】	F=1	【植】カノコソウ（鹿子草）（属）	valerian/o
vistari	【植】	F=1	【植】=visterio	vistari/o
visteri	【植】	F=1	【植】フジ（藤）（属）	visteri/o
zantoksil	【植】	F=1	《Ｎ》【植】サンショウ（山椒）（genro _Zanthoxylum_ el rutacoj，de falfolia a	zantoksil/o
zini	【植】	F=1	【植】ヒャクニチソウ（百日草）（属）;【園】ジニア	zini/o
bazilisk	【神】	F=1	{Ｏ}【神】バジリスク（伝説上の怪蛇、毒気が強く、ひとにらみで人を殺す）;【動】バシリスク,セビレトカゲ	bazilisk/o
harpi	【神】	F=1	{Ｏ}【神】ハルピュイア;《転》意地の悪い女,口うるさい女;【鳥】オウギワシ	harpi/o
silf	【神】	F=1	【神】シルフ（ケルト・ゲルマン神話の空気の精）;【虫】ヒラタシデムシ（属）;シデムシ（埋葬虫）（科の総称）	silf/o
agarik	【菌】	F=1	【菌】ハラタケ（原茸）（属）,>>lamenfungo	agarik/o
ebol	【菌】	F=1	【菌】エボラウイルス	ebol/o
helvel	【菌】	F=1	【菌】ノボリリュウ（属）	helvel/o
himeni	【菌】	F=1	【菌】子実層	himeni/o
filokser	【虫】	F=1	【虫】ネアブラムシ（属）,=vinlau^so	filokser/o
forfikul	【虫】	F=1	【虫】ハサミムシ（類）	forfikul/o
hermini	【虫】	F=1	【虫】アツバガの仲間（シラナミアツバなど）	hermini/o
kalandra	【虫】	F=1	【虫】コクゾウムシ（属）	kalandra/o
koleopter	【虫】	F=1	【虫】鞘翅目（しょうしもく）,甲虫類	koleopter/oj
krizalid	【虫】	F=1	【虫】（特にチョウの）さなぎ,>>pupo;《転》準備期	krizalid/o
