type	char	root	band	fullKanji	gloss
2根	炫	bravur	piv	炫	【楽】【PIV】Tre brila stilo au^ ludmaniero: bravur
2根	东	orient	basic	东	東の,東方の,東部の;東洋の
2根	东	oriental	pejvo	东	(無)
2根	丧	funebr	basic	丧	哀悼の,悲嘆にくれた;喪の,葬式の
2根	举	lev	basic	举	{Ｂ}［他］上げる,持ち上げる,拾い上げる;立てる,起こす;《転》高める,出す
2根	举	kondut	basic	举	{Ｂ}［自］ふるまう,態度をとる
2根	乌	ebon	pejvo	乌	黒たんの;漆黒の
2根	习	kutim	basic	习	いつもの
2根	仪	rit	pejvo	仪	（宗教的）儀式の,典礼の
2根	份	porci	basic	份	{Ｂ}分け前,割当て,配給量;（料理の）一人前
2根	侧	flank	basic	侧	側面の;副次的な
2根	储	rezerv	basic	储	保留の;予備の
2根	储	stok	basic	储	［他］【商】ストックする,仕入れる;蓄える
piv単独	凿	gug^	piv	凿	【PIV】Konkavaklinga c^izilo, uzata en meblofara
2根	劝	admon	basic	劝	{Ｂ}［他］言い聞かせる,勧告する,強く勧める;戒める,訓戒する,説諭する,叱責する
2根	卖	vend	basic	卖	売却の,販売の
2根	历	kalendar	basic	历	暦の上の
piv単独	厕	klozet	piv	厕	【PIV】Necesejo, ordinare kun pelvo k akvos^pruc
2根	吨	tun	basic	吨	{Ｂ}【単】トン（1t=1000kg）
2根	吨	tonel	pejvo	吨	{Ｏ}【海】（船の）容積トン（2.83ｍ3）
2根	哼	ronk	basic	哼	{Ｂ}［自］いびきをかく;ごうごううなる,>>grunti
2根	哼	grunt	pejvo	哼	［自］（ブタのように）ブーブー鳴く,>>bleki
2根	啃	rod	pejvo	啃	［他］=>rong^i（かじる）
2根	啃	rong^	pejvo	啃	{Ｏ}［他］かじる,=mordeti
2根	啪	krak	pejvo	啪	{Ｏ}［自］（ぱちぱち・ぴしり・ぽきん・めりめり）乾いた音を立てる
2根	啪	knal	piv	啪	【PIV】(ntr (netransitiva)) Brui kiel vipo, krev
2根	喻	trop	pejvo	喻	{Ｏ}【修】言葉のあや,（語の）転用,比喩,=vortfiguro
2根	喻	metafor	pejvo	喻	隠喩の,比喩の
piv単独	嘻	hihi	piv	嘻	【PIV】Eligi tian bruon.
2根	嚎	hurl	pejvo	嚎	［自］（オオカミ・犬が）ほえる,遠吠えする,>>ululi
2根	嚎	ulul	pejvo	嚎	［自］（狼のように長く不吉な）遠吠えをする;（梟などが）ほうほうと鳴く;（サイレンなどが）う
2根	囤	stapl	pejvo	囤	［他］倉庫に集積する,置場に積む
2根	囤	akapar	pejvo	囤	{Ｏ}［他］買占める,=forac^eti;独占する
2根	坛	forum	basic	坛	{Ｏ}フォーラム（公開討論の場）;【史】フォーラム（古代ローマの公共広場）
2根	坛	altar	pejvo	坛	{Ｏ}祭壇
2根	垄	monopol	basic	垄	独占的な;専売の
2根	垛	stak	pejvo	垛	いなむら（稲叢）;（物を積んだ）山;【情】スタック
2根	垛	krenel	pejvo	垛	銃眼のついた;【植】（葉の縁が）鈍鋸歯状の
2根	垫	kusen	basic	垫	{Ｂ}クッション,座布団
2根	垫	matrac	basic	垫	{Ｂ}マットレス（寝床用の厚い敷物）
piv単独	娇	lind	piv	娇	【PIV】Alloge plac^aspekta.
2根	宁	seren	basic	宁	{Ｂ}晴朗な,晴れ晴れした;おだやかな,うららかな,のどかな
2根	宁	prefer	basic	宁	むしろ,なるべく,好んで
2根	宪	konstituci	basic	宪	憲法の;立憲的な
2根	寻	serĉ	basic	寻	(無)
2根	寻	klaft	pejvo	寻	{Ｏ}【史】両手を広げた長さの単位（約1.8〜2.1m）,尋（ひろ）
2根	岁	aĝ	basic	岁	(無)
2根	岗	posten	basic	岗	［自］持ち場についている,部署を守る
2根	庙	templ	basic	庙	{Ｏ}【史】（古代ギリシア・ローマなどの）神殿;【宗】寺院,聖堂,礼拝堂,教会堂;《転》殿堂
piv単独	张	toni	piv	张	【生】【化】【PIV】1 Stato de malforta kontrahig^o de 
2根	归	atribu	pejvo	归	{Ｏ}［他］割り当てる;（〜の）せいにする
2根	忧	angor	pejvo	忧	苦悶の,不安にかられた
2根	怀	sin	basic	怀	{Ｂ}胸部;懐（ふところ）;胎内;《転》内奥;《転》胸の内
2根	态	stat	basic	态	【理】定位の,><astata
2根	态	ekologi	basic	态	(無)
2根	恼	irit	basic	恼	［他］いらだたせる;【医】刺激する
2根	恼	ĉagren	basic	恼	(無)
2根	悬	suspensi	pejvo	悬	【技】【PIV】1 Tuto de la arang^o, kiu ebligas al k
2根	惯	rutin	pejvo	惯	型どおりの,慣例に従った,旧弊な
2根	惯	inerci	pejvo	惯	【理】慣性の;《転》惰性の
2根	懒	pigr	pejvo	懒	《詩》=maldiligenta（怠惰な）
2根	拟	mimik	pejvo	拟	［他］身ぶりや表情で表現する;まねをする
2根	拟	simul	pejvo	拟	［他］【医】（病気の）ふりをする;【学】シミュレートする,模擬実験をする
2根	拧	tord	basic	拧	撚った,曲がりくねった,=tordita
2根	拧	vring	pejvo	拧	［他］=premtordi（絞る）
2根	拼	ortografi	basic	拼	(無)
