層	分節	単独語数	単独接地率	合成語数	合成接地率	文脈保持率
tier0_CSV2890	ten	33	0.182	37	0.081	0.45
tier0_CSV2890	sign	21	0.381	47	0.170	0.45
tier0_CSV2890	griz	5	0.800	11	0.364	0.45
tier0_CSV2890	cit	6	0.833	8	0.375	0.45
tier0_CSV2890	diabl	8	0.875	5	0.400	0.46
tier0_CSV2890	pec	9	0.333	13	0.154	0.46
tier0_CSV2890	kamp	9	0.222	48	0.104	0.47
tier0_CSV2890	okul	7	0.857	40	0.400	0.47
tier0_CSV2890	hav	17	0.294	36	0.139	0.47
tier0_CSV2890	lign	11	0.909	28	0.429	0.47
tier0_CSV2890	perd	7	0.857	10	0.400	0.47
tier0_CSV2890	star	28	0.714	15	0.333	0.47
tier0_CSV2890	rezult	7	0.857	5	0.400	0.47
tier0_CSV2890	leter	8	0.125	33	0.061	0.48
tier0_CSV2890	sistem	7	0.857	43	0.419	0.49
tier0_CSV2890	faktor	1	1.000	4	0.500	0.50
tier0_CSV2890	imun	5	1.000	12	0.500	0.50
tier0_CSV2890	alarm	5	1.000	4	0.500	0.50
tier0_CSV2890	almoz	4	0.500	4	0.250	0.50
tier0_CSV2890	ark	6	0.167	12	0.083	0.50
tier0_CSV2890	invalid	2	1.000	2	0.500	0.50
tier0_CSV2890	kapabl	6	1.000	16	0.500	0.50
tier0_CSV2890	kostum	2	1.000	10	0.500	0.50
tier0_CSV2890	dub	11	1.000	4	0.500	0.50
tier0_CSV2890	cikad	1	1.000	2	0.500	0.50
tier0_CSV2890	sorc^	9	1.000	4	0.500	0.50
tier0_CSV2890	seri	5	1.000	8	0.500	0.50
tier0_CSV2890	nud	9	1.000	6	0.500	0.50
tier0_CSV2890	egal	10	1.000	20	0.500	0.50
tier0_CSV2890	elegant	4	0.500	4	0.250	0.50
tier0_CSV2890	emerit	5	1.000	2	0.500	0.50
tier0_CSV2890	polur	5	1.000	2	0.500	0.50
tier0_CSV2890	teknologi	1	1.000	4	0.500	0.50
tier0_CSV2890	influ	4	1.000	2	0.500	0.50
tier0_CSV2890	integr	6	0.667	3	0.333	0.50
tier0_CSV2890	kamen	1	1.000	6	0.500	0.50
tier0_CSV2890	konsol	4	1.000	2	0.500	0.50
tier0_CSV2890	venen	8	1.000	6	0.500	0.50
tier0_CSV2890	lojal	3	0.667	3	0.333	0.50
tier0_CSV2890	monument	2	1.000	2	0.500	0.50
tier0_CSV2890	oblikv	5	1.000	2	0.500	0.50
tier0_CSV2890	prokrast	6	1.000	4	0.500	0.50
tier0_CSV2890	prun	1	1.000	2	0.500	0.50
tier0_CSV2890	trankvil	8	1.000	2	0.500	0.50
tier0_CSV2890	prunt	9	0.778	10	0.400	0.51
tier0_CSV2890	hejm	8	0.625	22	0.318	0.51
tier0_CSV2890	pik	11	0.545	14	0.286	0.52
tier0_CSV2890	okup	11	0.636	3	0.333	0.52
tier0_CSV2890	radi	22	0.591	70	0.314	0.53
tier0_CSV2890	sci	18	0.889	15	0.467	0.53
tier0_CSV2890	hau^t	4	1.000	19	0.526	0.53
tier0_CSV2890	tus^	14	0.714	16	0.375	0.53
tier0_CSV2890	reg	25	0.320	23	0.174	0.54
tier0_CSV2890	famili	5	1.000	13	0.538	0.54
tier0_CSV2890	tol	3	1.000	13	0.538	0.54
tier0_CSV2890	j^et	18	0.889	25	0.480	0.54
tier0_CSV2890	lip	3	1.000	13	0.538	0.54
tier0_CSV2890	element	3	1.000	13	0.538	0.54
tier0_CSV2890	universal	5	0.800	14	0.429	0.54
tier0_CSV2890	kurag^	11	0.909	2	0.500	0.55
tier0_CSV2890	spac	7	0.571	16	0.312	0.55
tier0_CSV2890	tru	8	0.875	23	0.478	0.55
tier0_CSV2890	baston	5	1.000	20	0.550	0.55
tier0_CSV2890	glob	5	1.000	20	0.550	0.55
tier0_CSV2890	vaz	3	0.667	11	0.364	0.55
tier0_CSV2890	suk	3	1.000	11	0.545	0.55
tier0_CSV2890	reklam	6	0.333	11	0.182	0.55
tier0_CSV2890	rezist	10	0.900	16	0.500	0.56
tier0_CSV2890	tip	9	0.556	16	0.312	0.56
tier0_CSV2890	g^oj	9	0.889	4	0.500	0.56
tier0_CSV2890	iluzi	5	0.600	3	0.333	0.56
tier0_CSV2890	komput	5	0.800	9	0.444	0.56
tier0_CSV2890	pat	5	0.600	3	0.333	0.56
tier0_CSV2890	baz	8	0.875	24	0.500	0.57
tier0_CSV2890	lang	4	1.000	14	0.571	0.57
tier0_CSV2890	pens	20	0.550	19	0.316	0.57
tier0_CSV2890	bret	2	0.500	7	0.286	0.57
tier0_CSV2890	part	13	0.538	23	0.304	0.57
tier0_CSV2890	ofend	8	0.875	2	0.500	0.57
tier0_CSV2890	palm	2	0.500	7	0.286	0.57
tier0_CSV2890	paf	14	0.643	24	0.375	0.58
tier0_CSV2890	aktiv	16	0.625	22	0.364	0.58
tier0_CSV2890	reg^im	1	1.000	12	0.583	0.58
tier0_CSV2890	kri	11	0.636	16	0.375	0.59
tier0_CSV2890	indic	2	1.000	15	0.600	0.60
tier0_CSV2890	bild	6	0.500	30	0.300	0.60
tier0_CSV2890	kor	6	1.000	43	0.605	0.60
tier0_CSV2890	flav	5	1.000	15	0.600	0.60
tier0_CSV2890	posed	6	0.833	6	0.500	0.60
tier0_CSV2890	oper	3	1.000	5	0.600	0.60
tier0_CSV2890	komerc	9	0.889	30	0.533	0.60
tier0_CSV2890	garanti	6	0.833	2	0.500	0.60
tier0_CSV2890	huf	4	1.000	5	0.600	0.60
tier0_CSV2890	invers	5	1.000	5	0.600	0.60
tier0_CSV2890	mandat	2	1.000	5	0.600	0.60
tier0_CSV2890	varb	5	0.800	2	0.500	0.62
tier0_CSV2890	pulvor	7	1.000	13	0.615	0.62
tier0_CSV2890	brust	4	1.000	16	0.625	0.62
tier0_CSV2890	ing^enier	3	1.000	8	0.625	0.62
tier0_CSV2890	stab	5	0.800	2	0.500	0.62
tier0_CSV2890	vir	17	0.588	33	0.364	0.62
tier0_CSV2890	gant	3	1.000	8	0.625	0.62
tier0_CSV2890	eko	5	0.800	2	0.500	0.62
tier0_CSV2890	kriz	4	1.000	8	0.625	0.62
tier0_CSV2890	montr	12	0.500	19	0.316	0.63
tier0_CSV2890	dors	8	0.750	21	0.476	0.63
tier0_CSV2890	komun	14	1.000	30	0.633	0.63
tier0_CSV2890	korn	8	1.000	14	0.643	0.64
tier0_CSV2890	bel	14	0.786	24	0.500	0.64
tier0_CSV2890	eben	5	1.000	11	0.636	0.64
tier0_CSV2890	koncentr	9	0.778	2	0.500	0.64
tier0_CSV2890	butik	7	0.714	11	0.455	0.64
tier0_CSV2890	lim	13	0.308	35	0.200	0.65
tier0_CSV2890	scienc	9	1.000	40	0.650	0.65
tier0_CSV2890	miks	12	0.833	13	0.538	0.65
tier0_CSV2890	ban	8	0.875	23	0.565	0.65
tier0_CSV2890	bat	15	0.467	23	0.304	0.65
tier0_CSV2890	romp	17	0.588	34	0.382	0.65
tier0_CSV2890	popol	7	1.000	26	0.654	0.65
