root	層	漢字	接地	生物名	F	接地した定義語根	定義文
politikologi	PIV	政学ᴾᴷ	Y		1	politik=政,geopolitik=地政	Scienca studado de la diversaj aspektoj de la politika vivo (partioj, balotoj, politikuloj
pomolog	PIV	苹学家	Y		1	pomologi=苹学	Fakulo pri pomologio.
pontederi	PIV	草ᴾᴼᴺ	Y	Y	1	herb=草	G. (Genro) (Pontederia el pontederiacoj) de 5 Amerikaj sp-oj (specioj) de plurjaraj, akvej
porc^	PIV	门廊	Y		1	portik=柱廊	Antau^konstruaj^o c^e dompordo, destinita por s^irmi kontrau^ pluvo k vento. Vd alero, mar
porfiri	PIV	鸟ᴾᴼ	Y	Y	1	bird=鸟	1 Sp. (Specio) (Porphyrio porphyrio) de birdo el la fam. (familio) de raledoj, nigre blua 
portulak	PIV	草ᴾᵁ	Y	Y	1	herb=草	G. (Genro) (Portulaca el portulakacoj) de unu-k plur-jaraj herboj kun pli-malpli karnecaj,
potentil	PIV	草ᴾᴱ	Y	Y	1	herb=草,tormentil=草ᵀᴱ	G. (Genro) (Potentilla el rozacoj) de plurjaraj herboj k tufarbustoj kun mane au^ nepare p
potiron	PIV	瓜ᴾᵀ	Y	Y	1	kukurb=瓜	Sp. (Specio) de kukurbo (Cucurbita maxima), kultivata por grandaj, pli-malpli globaj au^ l
pozidoni	PIV	草ᴾᶻ	Y	Y	1	herb=草,zoster=草	G. (Genro) (Posidonia el pozidoniacoj) de 9 sp-oj (specioj) de maraj herboj el la marbordo
presbit	PIV	猴ᴾᴿ	Y	Y	1	entel=猴ᴱ	G. (Genro) (Presbytis, inkl. (inkluzive) Semnopithecus) de simioj el la fam. (familio) de 
primatologi	PIV	灵长学	Y		1	primat=灵长	Scienco pri la primatoj.
prist	PIV	鱼ᴾˢ	Y	Y	1	fiŝ=鱼,raj=鱼	G. (Genro) (Pristis) de fis^oj parencaj al rajoj, sed kun supra makzelo longa kiel glavo, 
profaz	PIV	前相	Y		1	faz=相	Unua fazo de la mitozo k de la mejozo, kiam la kromosomoj permikroskope ekvideblas.
profilakt	PIV	防ᴾᴿ	Y		1	prevent=防ᴾ	(tr (transitiva)) = preventi.
prognat	PIV	凸ᴾᴳ	Y		1	protrud=凸ᴾ	Prezentanta antau^en-elstara(j)n makzelo(j)n. Vd protruda, ortognata.
projekciator	PIV	射具	Y		1	projekci=射ᴾᴿ	Aparato, por projekcii bildojn sur ekranon
pronel	PIV	鸟ᴾᴺ	Y	Y	1	bird=鸟	G. (Genro) (Prunella) de birdoj el la ordo de paseroformaj, malgrandaj, similaj al pasero,
prostatit	PIV	前列腺炎	Y		1	inflam=炎,prostat=前列腺	Inflamo de la prostato.
prostatektomi	PIV	前列腺除	Y		1	prostat=前列腺	Parta au^ tuta ablacio de la prostato.
proverbolog	PIV	谚学家	Y		1	proverb=谚	Studanto pri proverboj.
proverbologi	PIV	谚学	Y		1	proverb=谚	Scienco pri proverboj.
provirus	PIV	前毒	Y		1	virus=毒,virus=毒	Virusa genaro, integrig^inta en la genaron de kromosomo de la gastiganto (gastiganta kromo
psikopati	PIV	心病ᴾᴵ	Y		1	psik=心	Psika malordo, karakterizata precipe de neregataj impulsoj, humora nestabileco k nekapablo
psokopter	PIV	咬虫翅	Y	Y	1	insekt=虫	Ordo (Psocoptera) de insektoj, ampleksanta psokon k.a. (kaj aliaj) g-ojn.
ptarmik	PIV	菊ᴾᵀ	Y	Y	1	akile=菊	Sp. (Specio) de akileo (Achillea ptarmica) el Eu^ropo k Azio, plurjara, terniga herbo kun 
pteranodont	PIV	龙ᴾᵀ	Y	Y	1	pterodaktil=龙ᴾᴰ,ramforink=龙ᴿ	G. (Genro) (Pteranodon) de grandaj flugsau^roj, kiuj vivis dum malfrua kretaceo, eltrovita
pteridofit	PIV	羊齿植	Y	Y	1	plant=植,kriptogam=植	Filumo (Pteridophyta) de plantoj sen floroj k sen semoj sed kun tipaj vaskuloj (vaskulaj k
pterodaktil	PIV	龙ᴾᴰ	Y	Y	1	pteranodont=龙ᴾᵀ,ramforink=龙ᴿ	G. (Genro) (Pterodactylus) de relative malgrandaj, mallongvostaj flugsau^roj el malfrua j^
pterokarp	PIV	木ᴾᴱ	Y	Y	1	mangrov=木ᴹⱽ	G. (Genro) (Pterocarpus el fabacoj) de c^. (c^irkau^) 20 sp-oj (specioj) de tropikaj, grim
pterokl	PIV	鸟ᴾᴱ	Y	Y	1	sirapt=鸟ˢᴾ,bird=鸟	G. (Genro) (Pterocles), parenca al sirapto, de birdoj vivantaj en duondezertaj au^ stepaj 
ptilonorink	PIV	鸟ᴾᵀᴵ	Y	Y	1	bird=鸟	Au^stralia birdo (unuspecia g. (genro) Ptilonorhynchus violaceus) el la ordo de paseroform
pubiotomi	PIV	耻骨切	Y		1	tranĉ=切,pubi=耻骨ᴾᴵ	Flanka tranc^o de pubio, en iuj malfacilaj akus^oj.
pufin	PIV	鸟ᴾᶠ	Y	Y	1	bird=鸟	G. (Genro) (Puffinus) de maraj birdoj el la fam. (familio) de procelariedoj, kun longforma
pulmonari	PIV	草ᴾᵁᴸᴹ	Y	Y	1	herb=草	G. (Genro) (Pulmonaria el boragacoj) de malaltaj, plurjaraj herboj kun simplaj, integraj, 
pulpit	PIV	瓤炎	Y		1	inflam=炎,pulp=瓤	Inflamo de la denta pulpo.
pulsatil	PIV	草ᴾᵁᴸ	Y	Y	1	herb=草	G. (Genro) (Pulsatilla el ranunkolacoj) de plurjaraj herboj kun plume dividaj folioj, kun 
pumili	PIV	木ᴾᴹ	Y	Y	1	mug=木ᴹᵁ	Sp. (Specio) de pino (Pinus pumilio) el la montaroj de C Eu^ropo, trunkarbusto (g^is 5 m a
rabotator	PIV	刨具	Y		1	rabot=刨	Elektra mas^ino por paralele raboti la duan facon.
radiklit	PIV	根炎	Y		1	inflam=炎,radikl=根ᴿᴸ	Inflamo de radiklo.
rafanistr	PIV	草ᴿˢ	Y	Y	1	herb=草	Sp. (Specio) de rafano (Raphanus raphanistrum), N-hemisfera, unu-, du-au^ plur-jara herbo 
rafinoz	PIV	精糖	Y		1	sakaroz=蔗糖	Trisakarido, C 18 H 32 O 16, trovig^anta kun sakarozo en la suko de multaj plantoj, i.a. (
