root	kanji	gloss
vest	衣	［他］（人に）服を着せる;（物を）おおう
vizaĝ	颜	(基本形gloss無)
farb	颜	［他］絵具を塗る,ペンキを塗る
vojaĝ	旅	(基本形gloss無)
turist	旅	{Ｂ}観光客,旅行客,ツーリスト
fru	早	{Ｂ}早い;初期の
aer	气	空気の,大気の;空の,空中の,航空の;《転》空虚な,実体のない
gas	气	ガス状の;気体の
odor	气	においのある
veter	气	{Ｂ}【気】天候,天気,>>klimato
atmosfer	气	{Ｏ}大気;雰囲気;【理】気圧（気圧の単位，atm）
aĝ	岁	(基本形gloss無)
agrabl	快	{Ｂ}快い,心地よい,気持ちのよい
akcept	受	{Ｂ}［他］受入れる,受理する;迎え入れる;容認する
amas	堆	大量の
atent	注	{Ｂ}注意深い
injekt	注	{Ｂ}［他］【医】注射する;【機】注入する
komentari	注	{Ｏ}［他］注釈をつける,注解する;=komenti（論評する）
aŭtun	秋	(基本形gloss無)
best	兽	動物の,獣のような
zo	兽	［略］=zoologia g^ardeno
animal	兽	{Ｂ}動物,><vegetalo
zoologi	兽	(基本形gloss無)
blu	蓝	{Ｂ}青い
hel	亮	{Ｂ}明るい,晴れやかな,>>luma,>>brila;（色が）明るい,薄い,>>pala;（音が）澄んだ
bril	亮	輝かしい
cel	标	［他］ねらう,目ざす
mark	标	［他］印をつける
dent	齿	歯の;歯のついた
dik	厚	{Ｂ}厚い;太い;太った
direkt	方	方向の
kub	方	キューバの
kvadrat	方	【数】正方形の;【数】平方の,二次の
recept	方	［他］【医】処方する,=preskribi
divers	杂	{Ｂ}いろいろな,さまざまな,多種多様な
dolor	痛	痛い,痛ましい
dub	疑	疑わしい,疑問の;あいまいな
suspekt	疑	=suspektinda（疑わしい）
elekt	选	{Ｂ}［他］選ぶ,選択する,選定する,>>kribri;選挙する,>>baloti
antologi	选	{Ｏ}文学選集
erar	错	誤った,間違った
esper	望	希望の
fiŝ	鱼	(基本形gloss無)
ezok	鱼	{Ｂ}【魚】カワカマス
gobi	鱼	{Ｂ}【魚】タイリクスナモグリ（属）,川ハゼ（通称，コイ科の淡水魚）
angil	鱼	{Ｂ}【魚】ウナギ（鰻）
haring	鱼	{Ｂ}【魚】タイセイヨウニシン （大西洋鰊）（種）;《般》ニシン（鰊）
flor	花	花の;花のような
forges	忘	{Ｂ}［他］忘れる,失念する;なおざりにする,おろそかにする
fremd	异	{Ｂ}異国の,他国の;見知らぬ,見慣れない;無縁の,よそ事の
diferenc	异	違った,異なった
gaj	欢	{Ｂ}陽気な,快活な,愉快な,にぎやかな,浮き浮きした
ĝarden	园	(基本形gloss無)
park	园	［他］【車】駐車させる
gazet	报	{Ｂ}雑誌,新聞,定期刊行物
raport	报	{Ｂ}［他］報告する,伝える;報道する;答申する
bulten	报	{Ｂ}会報,紀要,（定期）報告書
telegraf	报	(基本形gloss無)
telegram	报	(基本形gloss無)
glas	杯	{Ｂ}コップ,グラス
tas	杯	{Ｂ}茶碗,カップ,湯のみ
pokal	杯	{Ｏ}（広口で脚つきの）杯（さかずき）,シャンペングラス;トロフィーカップ,優勝杯
ĝust	正	(基本形gloss無)
normal	正	{Ｂ}正常な,正規の,普通の,標準的な;【数】垂直の;【統】正規の
pozitiv	正	{Ｏ}積極的な,建設的な,実際的な,現実的な,確実な;肯定的な;実証的な;【電】陽の;【理】正の,Ｎ極の;【数】正の;【写】
histori	史	歴史上の,歴史的な
hund	犬	犬の;《転》みじめな
ide	意	観念の,観念的な
senc	意	{Ｂ}意味;【数】=sencumo（向き）
signif	意	意味のある,有意義な;重大な,かなりの
intenc	意	故意の,たくらんだ,意図的な
kalkul	算	{Ｂ}［他］計算する;数える;見なす
komput	算	{Ｏ}［他］【機】算定する,計量する;【情】（コンピュータで）演算する,処理する
budĝet	算	(基本形gloss無)
kapt	捕	{Ｂ}［他］つかまえる,捕らえる;つかむ,把握する;とりこにする
kar	亲	{Ｂ}親愛な,いとしい;大切な;高価な,（値段が）高い
intim	亲	{Ｂ}親密な,親しい,内輪の;私的な,内に秘めた,心の中の
parenc	亲	親族の,血縁の;同族の,同類の
simpati	亲	好感のもてる,感じのいい,気の合った;同情的な
kaŝ	藏	(基本形gloss無)
kat	猫	猫の,猫のような
koler	怒	怒りの,立腹した,怒っている
komerc	商	商業的な
firma	商	【商】商会,商社,=firmo
gvid	导	指導の;指導的な
konduk	导	{Ｂ}［他］導く,連れて行く,案内する;至る,通じる;指揮する;運転する,=stiri;=kondukti
direktor	导	{Ｂ}管理者,長;理事,重役;（劇場・ホテルなどの）支配人
laŭd	赞	(基本形gloss無)
konsent	赞	同意の,承諾の;一致した
kompliment	赞	賛辞の,お世辞の;あいさつの
korp	体	体の,肉体の
fart	体	{Ｂ}［自］〜の健康状態である
sport	体	スポーツの
kovr	盖	{Ｂ}［他］覆う,かぶせる;覆いかくす;償う,埋め合わせる
kuir	烹	料理の,調理の
gastronomi	烹	(基本形gloss無)
kuŝ	躺	(基本形gloss無)
lac	疲	{Ｂ}疲れた,くたびれた;《転》飽き飽きした
lakt	乳	乳の,牛乳の;乳状の
mam	乳	乳房の
larĝ	宽	(基本形gloss無)
liberal	宽	{Ｏ}寛大な,偏見のない,リベラルな;【政】自由主義の
