"root","k","band","br","F","st","lat","E","D","P"
"sufuz","渗","piv","2","2","11","5","0.455","11","-0.135"
"deviaci","偏","piv","2","2","11","7","0.636","11","-0.189"
"korak","渡鸦","pejvo","1","2","21","5","0.238","21","0.93"
"filum","门","piv","2","2","3","5","1.667","3","-1.299"
"kantarel","鸡油菌","pejvo","1","2","26","8","0.308","26","1.409"
"duet","二重","pejvo","1","2","11","4","0.364","11","-0.108"
"entom","虫","pejvo","1","2","6","5","0.833","6","-0.749"
"inferenc","推","piv","2","2","11","8","0.727","11","-0.217"
"koopt","增补","piv","2","2","22","5","0.227","22","1.033"
"bonz","僧","pejvo","1","2","14","4","0.286","14","0.216"
"markez","棚","pejvo","1","2","12","6","0.5","12","-0.049"
"serenad","小夜曲","pejvo","1","2","17","7","0.412","17","0.478"
"dafn","瑞香","pejvo","1","2","22","4","0.182","22","1.047"
"legionel","军团菌","piv","2","2","23","8","0.348","23","1.097"
"konvoj","护","pejvo","1","2","7","6","0.857","7","-0.656"
"skurg^","鞭","pejvo","1","2","18","5","0.278","18","0.618"
"kolb","托","pejvo","1","2","6","4","0.667","6","-0.699"
"kontumac","缺席","piv","2","2","20","8","0.4","20","0.781"
"hag^","朝拜","pejvo","1","2","21","3","0.143","21","0.958"
"bilg^","舱底","pejvo","1","2","18","4","0.222","18","0.635"
"mejoz","减分","piv","2","2","15","5","0.333","15","0.301"
"iskiat","坐神","piv","2","2","16","6","0.375","16","0.389"
"skulptur","雕","piv","2","2","16","8","0.5","16","0.351"
"kornet","短号","pejvo","1","2","17","6","0.353","17","0.495"
"konfront","对质","pejvo","1","2","13","8","0.615","13","0.017"
"arpeg^","散音","pejvo","1","2","21","5","0.238","21","0.93"
"feniks","凤","pejvo","1","2","4","6","1.5","4","-1.149"
"eu^trof","富养","pejvo","1","2","21","6","0.286","21","0.916"
"orakol","占","pejvo","1","2","5","6","1.2","5","-0.959"
"foni","声","pejvo","1","2","7","4","0.571","7","-0.57"
"aleksi","失读","piv","2","2","15","6","0.4","15","0.281"
"lic","许","pejvo","1","2","6","3","0.5","6","-0.649"
"poligon","多角","pejvo","1","2","13","7","0.538","13","0.04"
"aloj","合金","pejvo","1","2","14","4","0.286","14","0.216"
"sonet","十四行诗","pejvo","1","2","21","5","0.238","21","0.93"
"katekiz","诲","pejvo","1","2","9","7","0.778","9","-0.432"
"divorc","离婚","pejvo","1","2","21","6","0.286","21","0.916"
"strongil","圆虫","piv","2","2","16","8","0.5","16","0.351"
"marsupi","袋","piv","2","2","11","7","0.636","11","-0.189"
"presbiterian","长老","pejvo","1","2","10","12","1.2","10","-0.459"
"seroz","浆膜","piv","2","2","24","5","0.208","24","1.239"
"okta","八","piv","2","2","2","4","2","2","-1.499"
"verumontan","精丘","piv","2","2","19","10","0.526","19","0.644"
"numulit","钱虫","piv","2","2","16","7","0.438","16","0.37"
"tamtam","锣","pejvo","1","2","13","6","0.462","13","0.063"
"filadelf","山梅花","pejvo","1","2","21","8","0.381","21","0.887"
"klimaks","顶","piv","2","2","8","7","0.875","8","-0.561"
"tab","签","pejvo","1","2","13","3","0.231","13","0.132"
"gofr","压花","piv","2","2","13","4","0.308","13","0.109"
"anhel","喘","pejvo","1","2","12","5","0.417","12","-0.024"
"s^raman","苦僧","piv","2","2","22","6","0.273","22","1.019"
"salpetr","硝","pejvo","1","2","12","7","0.583","12","-0.074"
"krokiz","草","pejvo","1","2","9","6","0.667","9","-0.399"
"ekto","外","piv","2","2","5","4","0.8","5","-0.839"
"kameleon","变色龙","pejvo","1","2","19","8","0.421","19","0.675"
"temperament","禀","pejvo","1","2","13","11","0.846","13","-0.052"
"smut","黑穗病","pejvo","1","2","39","4","0.103","39","2.77"
"bigarad","酸橙","piv","2","2","30","7","0.233","30","1.831"
"rang^","调车","piv","2","2","14","4","0.286","14","0.216"
"ankiloz","关节强直","pejvo","1","2","31","7","0.226","31","1.934"
"car","帝","pejvo","1","2","9","3","0.333","9","-0.299"
"dentin","齿质","piv","2","2","16","6","0.375","16","0.389"
"titr","滴定","pejvo","1","2","22","4","0.182","22","1.047"
"kulm","茎","pejvo","1","2","8","4","0.5","8","-0.449"
"glikol","醇","piv","2","2","15","6","0.4","15","0.281"
"impregn","浸","piv","2","2","10","7","0.7","10","-0.309"
"zen","禅","pejvo","1","2","12","3","0.25","12","0.026"
"upas","毒木","piv","2","2","13","4","0.308","13","0.109"
"rangifer","驯鹿","pejvo","1","2","17","8","0.471","17","0.46"
"konsign","寄","piv","2","2","11","7","0.636","11","-0.189"
"sesdeknau^","舔吸","piv","2","2","20","9","0.45","20","0.766"
"morfem","语素","pejvo","1","2","19","6","0.316","19","0.707"
"remont","补马","pejvo","1","2","10","6","0.6","10","-0.279"
"docent","讲师","pejvo","1","2","12","6","0.5","12","-0.049"
"kanu","舟","pejvo","1","2","6","4","0.667","6","-0.699"
"atas^e","随员","pejvo","1","2","18","5","0.278","18","0.618"
"epiteli","上皮","pejvo","1","2","8","7","0.875","8","-0.561"
"spatel","铲","pejvo","1","2","11","6","0.545","11","-0.162"
"regurgit","反流","piv","2","2","14","8","0.571","14","0.13"
"gencian","龙胆","pejvo","1","2","14","7","0.5","14","0.151"
"hesperornit","黄昏鸟","piv","2","2","24","11","0.458","24","1.164"
"anaglif","雕","piv","2","2","16","7","0.438","16","0.37"
"homotet","位似","piv","2","2","13","7","0.538","13","0.04"
"sufle","蛋奶酥","pejvo","1","2","28","5","0.179","28","1.648"
"belon","针鱼","piv","2","2","15","5","0.333","15","0.301"
"sued","猪","piv","2","2","11","4","0.364","11","-0.108"
"himalaj","雪松","pejvo","1","2","19","7","0.368","19","0.691"
"dipso","渴","piv","2","2","12","5","0.417","12","-0.024"
"leandr","虾","piv","2","2","9","6","0.667","9","-0.399"
"retret","退","pejvo","1","2","9","6","0.667","9","-0.399"
"sinergi","协同作用","pejvo","1","2","24","7","0.292","24","1.214"
"rezident","驻官","piv","2","2","16","8","0.5","16","0.351"
"balistik","弹道","pejvo","1","2","23","8","0.348","23","1.097"
"cipre","宝贝","piv","2","2","12","5","0.417","12","-0.024"
"hen","嘶","pejvo","1","2","15","3","0.2","15","0.341"
"televizi","电视","pejvo","1","2","13","8","0.615","13","0.017"
"paraf","签","pejvo","1","2","13","5","0.385","13","0.086"
"miasm","毒气","pejvo","1","2","13","5","0.385","13","0.086"
"arkegoni","颈卵器","piv","2","2","34","8","0.235","34","2.231"
"alergi","过敏","pejvo","1","2","17","6","0.353","17","0.495"
"meriz","樱","pejvo","1","2","15","5","0.333","15","0.301"
"perfor","穿","piv","2","2","9","6","0.667","9","-0.399"
"prestig^","威望","pejvo","1","2","20","7","0.35","20","0.796"
"serg^ent","军士","pejvo","1","2","9","7","0.778","9","-0.432"
"masakr","屠","pejvo","1","2","11","6","0.545","11","-0.162"
"psok","咬虫","piv","2","2","15","4","0.267","15","0.321"
"briz","微风","pejvo","1","2","17","4","0.235","17","0.531"
"fulmin","轰","pejvo","1","2","8","6","0.75","8","-0.524"
"ekstemporal","即","pejvo","1","2","7","11","1.571","7","-0.87"
"hoj","喂","pejvo","1","2","12","3","0.25","12","0.026"
"korvet","护舰","pejvo","1","2","17","6","0.353","17","0.495"
"giro","旋","pejvo","1","2","11","4","0.364","11","-0.108"
"kompozit","菊","pejvo","1","2","11","8","0.727","11","-0.217"
"neritik","浅海","piv","2","2","18","7","0.389","18","0.585"
"konklav","秘会","pejvo","1","2","16","7","0.438","16","0.37"
"fag^","食菌","piv","2","2","20","3","0.15","20","0.856"
"homoteti","位似","piv","2","2","13","8","0.615","13","0.017"
"drapir","帷","pejvo","1","2","11","6","0.545","11","-0.162"
"dromedar","单峰驼","pejvo","1","2","26","8","0.308","26","1.409"
"hidatid","包虫","piv","2","2","11","7","0.636","11","-0.189"
"gajak","愈疮木","pejvo","1","2","26","5","0.192","26","1.444"
"apokrif","伪","pejvo","1","2","6","7","1.167","6","-0.849"
"minoritat","少数","pejvo","1","2","17","9","0.529","17","0.443"
"bugr","肛交","piv","2","2","13","4","0.308","13","0.109"
"peritone","腹膜","pejvo","1","2","27","8","0.296","27","1.513"
"c^ir","卷须","piv","2","2","17","3","0.176","17","0.549"
"karaben","马枪","pejvo","1","2","11","7","0.636","11","-0.189"
"efedrin","麻黄碱","piv","2","2","36","7","0.194","36","2.443"
"kapstan","绞盘","pejvo","1","2","20","7","0.35","20","0.796"
"fonet","音","pejvo","1","2","9","5","0.556","9","-0.365"
"anatem","咒","pejvo","1","2","8","6","0.75","8","-0.524"
"fideikomis","信委","piv","2","2","17","10","0.588","17","0.425"
"susceptibl","率","pejvo","1","2","11","10","0.909","11","-0.271"
"fen","焚风","pejvo","1","2","16","3","0.188","16","0.445"
"mumi","干尸","pejvo","1","2","6","4","0.667","6","-0.699"
"lentan","五色梅","piv","2","2","21","6","0.286","21","0.916"
"amfor","罐","pejvo","1","2","23","5","0.217","23","1.136"
"centau^r","半人马","pejvo","1","2","10","7","0.7","10","-0.309"
"lem","引理","pejvo","1","2","15","3","0.2","15","0.341"
"fau^l","违规","pejvo","1","2","15","4","0.267","15","0.321"
"aksiom","公理","pejvo","1","2","15","6","0.4","15","0.281"
"fau^n","兽群","pejvo","1","2","24","4","0.167","24","1.251"
"stimulin","激素","piv","2","2","26","8","0.308","26","1.409"
"vegan","素","pejvo","1","2","10","5","0.5","10","-0.249"
"ekstrapol","外推","pejvo","1","2","16","9","0.562","16","0.333"
"atri","厅","piv","2","2","4","4","1","4","-0.999"
"nef","云","piv","2","2","4","3","0.75","4","-0.924"
"agoni","垂死","pejvo","1","2","14","5","0.357","14","0.194"
"kompiler","编译","pejvo","1","2","19","8","0.421","19","0.675"
"greb","潜鸟","piv","2","2","20","4","0.2","20","0.841"
"profilaktik","防","pejvo","1","2","6","11","1.833","6","-1.049"
"kaprimulg","夜鹰","pejvo","1","2","26","9","0.346","26","1.398"
"alte","立葵","pejvo","1","2","17","4","0.235","17","0.531"
"skrot","阴囊","pejvo","1","2","28","5","0.179","28","1.648"
"barg^","驳","pejvo","1","2","7","4","0.571","7","-0.57"
"ovi","羊","piv","2","2","6","3","0.5","6","-0.649"
"melas","糖蜜","pejvo","1","2","30","5","0.167","30","1.851"
"semio","症","piv","2","2","10","5","0.5","10","-0.249"
"strigl","刷","pejvo","1","2","8","6","0.75","8","-0.524"
"limb","叶","pejvo","1","2","5","4","0.8","5","-0.839"
"file","里脊","piv","2","2","17","4","0.235","17","0.531"
"tetanos","破伤风","piv","2","2","20","7","0.35","20","0.796"
"krabl","爬","pejvo","1","2","8","5","0.625","8","-0.486"
"putin","妓","pejvo","1","2","7","5","0.714","7","-0.613"
"asonanc","韵","pejvo","1","2","13","7","0.538","13","0.04"
"frog","辙叉","piv","2","2","19","4","0.211","19","0.738"
"burg","堡","piv","2","2","12","4","0.333","12","0.001"
"vikari","副祭","pejvo","1","2","22","6","0.273","22","1.019"
"areol","晕","piv","2","2","10","5","0.5","10","-0.249"
"amend","改","pejvo","1","2","7","5","0.714","7","-0.613"
"koron","日光环","pejvo","1","2","18","5","0.278","18","0.618"
"insinu","影射","piv","2","2","25","6","0.24","25","1.329"
"terminal","终端","pejvo","1","2","22","8","0.364","22","0.992"
"alburn","白鱼","pejvo","1","2","13","6","0.462","13","0.063"
"kastor","河狸","pejvo","1","2","18","6","0.333","18","0.601"
"disident","异","pejvo","1","2","6","8","1.333","6","-0.899"
"heksa","六","pejvo","1","2","4","5","1.25","4","-1.074"
"pastern","系部","piv","2","2","17","7","0.412","17","0.478"
"presbiop","老花","pejvo","1","2","13","8","0.615","13","0.017"
"kalkulus","齿石","pejvo","1","2","13","8","0.615","13","0.017"
"regent","摄政","pejvo","1","2","22","6","0.273","22","1.019"
"emeritur","退休金","pejvo","1","2","23","8","0.348","23","1.097"
"anafor","复","piv","2","2","9","6","0.667","9","-0.399"
"embarg","禁","pejvo","1","2","13","6","0.462","13","0.063"
"spros","芽","pejvo","1","2","7","5","0.714","7","-0.613"
"piton","巨蛇","pejvo","1","2","15","5","0.333","15","0.301"
"protrud","凸","piv","2","2","5","7","1.4","5","-1.019"
"pamp","原","piv","2","2","10","4","0.4","10","-0.219"
"tepid","温","pejvo","1","2","12","5","0.417","12","-0.024"
"karis","假虎刺","piv","2","2","27","5","0.185","27","1.546"
"apokalips","末启","pejvo","1","2","12","9","0.75","12","-0.124"
"koklus^","百日咳","pejvo","1","2","19","6","0.316","19","0.707"
"g^el","凝胶","pejvo","1","2","26","3","0.115","26","1.467"
"s^kop","勺","piv","2","2","3","4","1.333","3","-1.199"
"vipur","毒蛇","pejvo","1","2","20","5","0.25","20","0.826"
"minera","矿","pejvo","1","2","8","6","0.75","8","-0.524"
"puding","奶冻","pejvo","1","2","12","6","0.5","12","-0.049"
"ekvipotencial","等势","piv","2","2","20","13","0.65","20","0.706"
"vermiljon","朱","pejvo","1","2","6","9","1.5","6","-0.949"
"semafor","号","pejvo","1","2","5","7","1.4","5","-1.019"
"sena","决明","piv","2","2","14","4","0.286","14","0.216"
"heliant","向日葵","pejvo","1","2","22","7","0.318","22","1.006"
"rabet","槽","piv","2","2","15","5","0.333","15","0.301"
"nekromanci","招魂","pejvo","1","2","21","10","0.476","21","0.859"
"ukij","浮世绘","pejvo","1","2","24","4","0.167","24","1.251"
"advers","敌","pejvo","1","2","10","6","0.6","10","-0.279"
"muestr","样","piv","2","2","10","6","0.6","10","-0.279"
"gvajak","愈疮木","pejvo","1","2","26","6","0.231","26","1.432"
"sizigi","大潮","pejvo","1","2","18","6","0.333","18","0.601"
"timid","怯","pejvo","1","2","8","5","0.625","8","-0.486"
"c^izoj","剪","piv","2","2","11","5","0.455","11","-0.135"
"suspensori","吊带","piv","2","2","15","10","0.667","15","0.201"
"legac","遗赠","pejvo","1","2","28","5","0.179","28","1.648"
"anduj","肚肠","piv","2","2","14","5","0.357","14","0.194"
"tentakl","触手","pejvo","1","2","17","7","0.412","17","0.478"
"spil","钻","pejvo","1","2","10","4","0.4","10","-0.219"
"adjekt","状","pejvo","1","2","7","6","0.857","7","-0.656"
"pirit","黄铁矿","pejvo","1","2","29","5","0.172","29","1.75"
"verben","鞭草","pejvo","1","2","27","6","0.222","27","1.535"
"fet","胎","pejvo","1","2","9","3","0.333","9","-0.299"
"kakemon","挂轴","pejvo","1","2","18","7","0.389","18","0.585"
"vasal","臣","pejvo","1","2","6","5","0.833","6","-0.749"
"apretur","整","pejvo","1","2","16","7","0.438","16","0.37"
"turban","头巾","pejvo","1","2","8","6","0.75","8","-0.524"
"skabi","癣","pejvo","1","2","19","5","0.263","19","0.722"
"klepto","偷","piv","2","2","11","6","0.545","11","-0.162"
"limed","甜柠","piv","2","2","20","5","0.25","20","0.826"
"pru","头","pejvo","1","2","5","3","0.6","5","-0.779"
"mamut","巨象","pejvo","1","2","15","5","0.333","15","0.301"
"piment","多香果","pejvo","1","2","23","6","0.261","23","1.123"
"povr","贫","pejvo","1","2","8","4","0.5","8","-0.449"
"kulvert","暗渠","piv","2","2","24","7","0.292","24","1.214"
"spok","辐","pejvo","1","2","13","4","0.308","13","0.109"
"skorpen","蝎鱼","piv","2","2","23","7","0.304","23","1.11"
"vitral","彩窗","pejvo","1","2","23","6","0.261","23","1.123"
"okcipit","后脑","pejvo","1","2","16","7","0.438","16","0.37"
"tetr","琴鸡","pejvo","1","2","19","4","0.211","19","0.738"
"liken","地衣","pejvo","1","2","12","5","0.417","12","-0.024"
"involukr","总苞","pejvo","1","2","17","8","0.471","17","0.46"
"dinosau^r","恐龙","pejvo","1","2","15","8","0.533","15","0.241"
"cis","此","pejvo","1","2","6","3","0.5","6","-0.649"
"gonad","性腺","piv","2","2","21","5","0.238","21","0.93"
"ekspresion","表","pejvo","1","2","8","10","1.25","8","-0.674"
"karj","山核桃","piv","2","2","23","4","0.174","23","1.149"
"salam","腊肠","pejvo","1","2","19","5","0.263","19","0.722"
"kurkuli","象甲","pejvo","1","2","16","7","0.438","16","0.37"
"mim","仿","pejvo","1","2","6","3","0.5","6","-0.649"
"bistr","褐","pejvo","1","2","14","5","0.357","14","0.194"
"skadr","队","pejvo","1","2","4","5","1.25","4","-1.074"
"eksplik","释","pejvo","1","2","12","7","0.583","12","-0.074"
"cili","纤毛","pejvo","1","2","10","4","0.4","10","-0.219"
"knal","啪","piv","2","2","11","4","0.364","11","-0.108"
"kaos","混乱","pejvo","1","2","18","4","0.222","18","0.635"
"korset","束腰","pejvo","1","2","20","6","0.3","20","0.811"
"skovel","刷","piv","2","2","8","6","0.75","8","-0.524"
"kori","绒膜","piv","2","2","23","4","0.174","23","1.149"
"fizionomi","相","pejvo","1","2","9","9","1","9","-0.499"
"ksantom","黄瘤","piv","2","2","26","7","0.269","26","1.421"
"epiornit","隆鸟","pejvo","1","2","16","8","0.5","16","0.351"
"dekokt","煎","pejvo","1","2","13","6","0.462","13","0.063"
"resurekt","复活","pejvo","1","2","18","8","0.444","18","0.568"
"mulc^","覆","pejvo","1","2","18","4","0.222","18","0.635"
"pulc^inel","丑","pejvo","1","2","4","8","2","4","-1.299"
"fritilari","贝母","pejvo","1","2","9","9","1","9","-0.499"
"riport","报","piv","2","2","7","6","0.857","7","-0.656"
"manometr","压计","pejvo","1","2","10","8","0.8","10","-0.339"
"pum","砰","pejvo","1","2","10","3","0.3","10","-0.189"
"bac","响","piv","2","2","9","3","0.333","9","-0.299"
"brig^","桥牌","pejvo","1","2","22","4","0.182","22","1.047"
"konfisk","没收","pejvo","1","2","13","7","0.538","13","0.04"
"ependim","室膜","pejvo","1","2","23","7","0.304","23","1.11"
"divan","长椅","pejvo","1","2","16","5","0.312","16","0.408"
"kvik","麦草","piv","2","2","16","4","0.25","16","0.426"
"s^aman","巫","pejvo","1","2","7","5","0.714","7","-0.613"
"heterodin","外差","piv","2","2","14","9","0.643","14","0.108"
"elit","优","pejvo","1","2","6","4","0.667","6","-0.699"
"metilen","亚甲","pejvo","1","2","11","7","0.636","11","-0.189"
"c^ement","牙骨质","piv","2","2","22","6","0.273","22","1.019"
"ciklop","巨","pejvo","1","2","4","6","1.5","4","-1.149"
"tribunus","官","piv","2","2","8","8","1","8","-0.599"
"oktant","八分","pejvo","1","2","6","6","1","6","-0.799"
"au^toklav","高压锅","piv","2","2","28","8","0.286","28","1.616"
"splen","郁","pejvo","1","2","8","5","0.625","8","-0.486"
"prim","质数","pejvo","1","2","21","4","0.19","21","0.944"
"teba","鸦片","piv","2","2","13","4","0.308","13","0.109"
"vojevod","督","piv","2","2","13","7","0.538","13","0.04"
"barikad","路障","pejvo","1","2","26","7","0.269","26","1.421"
"skalen","斜角","piv","2","2","18","6","0.333","18","0.601"
"sfenisk","企鹅","piv","2","2","18","7","0.389","18","0.585"
"kic^","俗","pejvo","1","2","9","3","0.333","9","-0.299"
"guas^","水粉","pejvo","1","2","14","4","0.286","14","0.216"
"api","芹","pejvo","1","2","7","3","0.429","7","-0.527"
"egret","冠羽","pejvo","1","2","15","5","0.333","15","0.301"
"primordi","原基","piv","2","2","21","8","0.381","21","0.887"
"koc^er","驾","pejvo","1","2","8","5","0.625","8","-0.486"
"leksikon","词典","pejvo","1","2","15","8","0.533","15","0.241"
"glomerul","球","piv","2","2","11","8","0.727","11","-0.217"
"kraken","饼","pejvo","1","2","9","6","0.667","9","-0.399"
"kataplasm","膏","pejvo","1","2","14","9","0.643","14","0.108"
"plektr","拨","pejvo","1","2","8","6","0.75","8","-0.524"
"emberiz","雀","pejvo","1","2","11","7","0.636","11","-0.189"
"afazi","失语","pejvo","1","2","14","5","0.357","14","0.194"
"bordun","低音","piv","2","2","16","6","0.375","16","0.389"
"ksen","外","piv","2","2","5","4","0.8","5","-0.839"
"enkau^stik","蜡画","piv","2","2","22","9","0.409","22","0.979"
"zenit","天顶","pejvo","1","2","12","5","0.417","12","-0.024"
"silt","粉砂","piv","2","2","19","4","0.211","19","0.738"
"antraks","炭疮","pejvo","1","2","18","7","0.389","18","0.585"
"konvekt","对流","pejvo","1","2","15","7","0.467","15","0.261"
"defens","封","piv","2","2","9","6","0.667","9","-0.399"
"kanap","长椅","pejvo","1","2","16","5","0.312","16","0.408"
"celuloz","纤素","pejvo","1","2","16","7","0.438","16","0.37"
"dau^b","桶板","pejvo","1","2","19","4","0.211","19","0.738"
"glicin","大豆","pejvo","1","2","10","6","0.6","10","-0.279"
"apozici","位","pejvo","1","2","7","7","1","7","-0.699"
"lontan","远","piv","2","2","7","6","0.857","7","-0.656"
"madz","钉头锤","piv","2","2","25","4","0.16","25","1.353"
"petici","求","pejvo","1","2","7","6","0.857","7","-0.656"
"faeton","马车","pejvo","1","2","7","6","0.857","7","-0.656"
"troposfer","对流层","pejvo","1","2","22","9","0.409","22","0.979"
"faci","颜","piv","2","2","15","4","0.267","15","0.321"
"disertaci","论文","pejvo","1","2","10","9","0.9","10","-0.369"
"rustik","朴","piv","2","2","6","6","1","6","-0.799"
"tard","迟","pejvo","1","2","7","4","0.571","7","-0.57"
"federal","联","pejvo","1","2","12","7","0.583","12","-0.074"
"asket","苦行","pejvo","1","2","14","5","0.357","14","0.194"
"dekrement","减","pejvo","1","2","11","9","0.818","11","-0.244"
"dietik","节","piv","2","2","5","6","1.2","5","-0.959"
"elim","麦","pejvo","1","2","7","4","0.571","7","-0.57"
"leu^cin","亮","piv","2","2","9","6","0.667","9","-0.399"
"fol","愚","piv","2","2","13","3","0.231","13","0.132"
"secesi","脱","piv","2","2","11","6","0.545","11","-0.162"
"ametrop","屈光","piv","2","2","14","7","0.5","14","0.151"
"kapus","航向","piv","2","2","16","5","0.312","16","0.408"
"bombast","夸","pejvo","1","2","6","7","1.167","6","-0.849"
"portik","柱廊","pejvo","1","2","20","6","0.3","20","0.811"
"tof","凝灰","pejvo","1","2","22","3","0.136","22","1.061"
"fleb","脉","piv","2","2","9","4","0.444","9","-0.332"
"sold","钱","pejvo","1","2","10","4","0.4","10","-0.219"
"rea","美洲鸵","piv","2","2","28","3","0.107","28","1.669"
"ileks","冬青","pejvo","1","2","13","5","0.385","13","0.086"
"pomad","膏","pejvo","1","2","14","5","0.357","14","0.194"
"pleb","民","pejvo","1","2","5","4","0.8","5","-0.839"
"kladik","支学","piv","2","2","12","6","0.5","12","-0.049"
"skoli","注","piv","2","2","8","5","0.625","8","-0.486"
"tak","倾","piv","2","2","10","3","0.3","10","-0.189"
"miom","肌瘤","pejvo","1","2","21","4","0.19","21","0.944"
"paletr","调色板","pejvo","1","2","24","6","0.25","24","1.226"
"esamen","蜂群","piv","2","2","26","6","0.231","26","1.432"
"veto","否","pejvo","1","2","7","4","0.571","7","-0.57"
"silog","论","pejvo","1","2","6","5","0.833","6","-0.749"
"rudiment","初","pejvo","1","2","7","8","1.143","7","-0.742"
"sekundar","次","pejvo","1","2","6","8","1.333","6","-0.899"
"terapeu^tik","疗","pejvo","1","2","7","10","1.429","7","-0.827"
"mering","蛋白霜","pejvo","1","2","33","6","0.182","33","2.147"
"uv","葡萄","piv","2","2","23","2","0.087","23","1.175"
"difeomorf","微分同胚","piv","2","2","32","9","0.281","32","2.017"
"sangvin","乐","pejvo","1","2","5","7","1.4","5","-1.019"
"adolt","成","pejvo","1","2","6","5","0.833","6","-0.749"
"delic","珍","piv","2","2","9","5","0.556","9","-0.365"
"igx","成","pejvo","1","2","6","3","0.5","6","-0.649"
"slum","贫窟","piv","2","2","21","4","0.19","21","0.944"
"marki","疆","piv","2","2","19","5","0.263","19","0.722"
"metazo","后生","pejvo","1","2","11","6","0.545","11","-0.162"
"kvartet","四重","pejvo","1","2","14","7","0.5","14","0.151"
"gug^","凿","piv","2","2","12","3","0.25","12","0.026"
"most","汁","pejvo","1","2","5","4","0.8","5","-0.839"
"pirol","雀","pejvo","1","2","11","5","0.455","11","-0.135"
"fronton","山花","pejvo","1","2","10","7","0.7","10","-0.309"
"reporter","记者","pejvo","1","2","13","8","0.615","13","0.017"
"gem","玉","pejvo","1","2","5","3","0.6","5","-0.779"
"sekvenc","序","piv","2","2","7","7","1","7","-0.699"
"centuri","百队","piv","2","2","10","7","0.7","10","-0.309"
"sapot","人心果","piv","2","2","14","5","0.357","14","0.194"
"sinkop","切分","pejvo","1","2","8","6","0.75","8","-0.524"
"rekvizici","征用","pejvo","1","2","13","9","0.692","13","-0.006"
"razi","袭","piv","2","2","11","4","0.364","11","-0.108"
"alk","驼鹿","pejvo","1","2","19","3","0.158","19","0.754"
"sinekur","闲职","pejvo","1","2","18","7","0.389","18","0.585"
"fob","怕","piv","2","2","8","3","0.375","8","-0.411"
"diurn","日","pejvo","1","2","4","5","1.25","4","-1.074"
"tiktak","滴答","pejvo","1","2","26","6","0.231","26","1.432"
"afust","炮架","pejvo","1","2","18","5","0.278","18","0.618"
"bilharzi","血虫","piv","2","2","12","8","0.667","12","-0.099"
"lampir","萤","pejvo","1","2","11","6","0.545","11","-0.162"
"puntili","面子","piv","2","2","12","7","0.583","12","-0.074"
"introvertit","内向","pejvo","1","2","10","11","1.1","10","-0.429"
"topik","题","piv","2","2","15","5","0.333","15","0.301"
"redund","冗","piv","2","2","4","6","1.5","4","-1.149"
"hirud","吸血虫","pejvo","1","2","18","5","0.278","18","0.618"
"kep","军帽","pejvo","1","2","18","3","0.167","18","0.651"
"tref","梅花","pejvo","1","2","18","4","0.222","18","0.635"
"poplit","膝窝","pejvo","1","2","27","6","0.222","27","1.535"
"petard","炮","pejvo","1","2","9","6","0.667","9","-0.399"
"nihil","无","pejvo","1","2","4","5","1.25","4","-1.074"
"gimnot","电鱼","pejvo","1","2","13","6","0.462","13","0.063"
"midriaz","散瞳","piv","2","2","29","7","0.241","29","1.729"
"s^utr","百叶窗","pejvo","1","2","23","4","0.174","23","1.149"
"mizantrop","厌人","pejvo","1","2","8","9","1.125","8","-0.636"
"kreten","痴","pejvo","1","2","13","6","0.462","13","0.063"
"mumps","腮","pejvo","1","2","13","5","0.385","13","0.086"
"rasl","啰音","piv","2","2","20","4","0.2","20","0.841"
"studi","室","pejvo","1","2","9","5","0.556","9","-0.365"
"skrutini","检","piv","2","2","11","8","0.727","11","-0.217"
"kadrat","空铅","pejvo","1","2","18","6","0.333","18","0.601"
"asteri","海星","pejvo","1","2","19","6","0.316","19","0.707"
"uve","葡萄膜","piv","2","2","37","3","0.081","37","2.577"
"damasken","嵌","pejvo","1","2","12","8","0.667","12","-0.099"
"ambr","龙香","pejvo","1","2","14","4","0.286","14","0.216"
"glum","颖","pejvo","1","2","13","4","0.308","13","0.109"
"oblat","饼","pejvo","1","2","9","5","0.556","9","-0.365"
"galin","鸡","piv","2","2","7","5","0.714","7","-0.613"
"gazel","瞪羚","pejvo","1","2","28","5","0.179","28","1.648"
"abrazi","磨蚀","piv","2","2","25","6","0.24","25","1.329"
"soldanel","雪铃","piv","2","2","21","8","0.381","21","0.887"
"kak","屎","pejvo","1","2","9","3","0.333","9","-0.299"
"robot","机器人","pejvo","1","2","24","5","0.208","24","1.239"
"kokcidi","球虫","piv","2","2","17","7","0.412","17","0.478"
"korm","茎叶体","piv","2","2","20","4","0.2","20","0.841"
"cejan","蓝菊","pejvo","1","2","24","5","0.208","24","1.239"
"homotopi","同伦","piv","2","2","12","8","0.667","12","-0.099"
"diospir","柿","piv","2","2","9","7","0.778","9","-0.432"
"reprezali","报复","pejvo","1","2","16","9","0.562","16","0.333"
"tranc^e","沟","pejvo","1","2","7","6","0.857","7","-0.656"
"aft","疮","pejvo","1","2","9","3","0.333","9","-0.299"
"pergamen","羊皮纸","pejvo","1","2","18","8","0.444","18","0.568"
"spermati","精","piv","2","2","14","8","0.571","14","0.13"
"pedagog","教","pejvo","1","2","11","7","0.636","11","-0.189"
"karbonar","烧炭党","piv","2","2","29","8","0.276","29","1.719"
"rugin","刮","piv","2","2","8","5","0.625","8","-0.486"
